1.533333	274.6036	15.78250	67.17356	3.482588	30.89380	100.0137
1.566666	275.1133	15.78215	67.07500	3.469040	30.78735	100.0218
1.600000	275.6146	15.78188	66.97684	3.455655	30.68209	100.0384
1.633334	276.1118	15.78180	66.88007	3.442458	30.57823	99.92697
1.666667	276.6015	15.78172	66.78456	3.429474	30.47600	100.0516
1.700000	277.0870	15.78153	66.69226	3.416805	30.37631	99.97489
1.733334	277.5627	15.78129	66.60153	3.404396	30.27869	100.0041
1.770834	278.0865	15.78109	66.49876	3.390562	30.16960	99.98403
1.808333	278.6025	15.78094	66.39478	3.376777	30.06057	99.99197
1.841666	279.0526	15.78078	66.30180	3.364622	29.96423	100.0289
1.875000	279.4937	15.78062	66.20884	3.352607	29.86885	100.0396
1.908333	279.9268	15.78054	66.11562	3.340698	29.77412	99.93505
1.941666	280.3504	15.78050	66.01956	3.328749	29.67860	100.0038
1.975000	280.7676	15.78035	65.92180	3.316819	29.58266	100.0430
2.008333	281.1753	15.78020	65.82241	3.304944	29.48666	99.97778
2.045834	281.6222	15.78000	65.70839	3.291612	29.37850	99.99658
2.083334	282.0589	15.77975	65.59039	3.278156	29.26887	100.0032
2.116667	282.4384	15.77960	65.48260	3.266122	29.17047	99.97919
2.150000	282.8111	15.77947	65.37356	3.254108	29.07200	100.0176
2.183334	283.1766	15.77940	65.26190	3.242020	28.97264	100.0437
2.216667	283.5346	15.77935	65.14936	3.229983	28.87351	99.93472
2.250000	283.8877	15.77932	65.03432	3.217854	28.77334	99.99999
2.283333	284.2332	15.77928	64.91511	3.205548	28.67137	100.0418
2.316666	284.5680	15.77915	64.79261	3.193160	28.56844	99.98774
2.354167	284.9441	15.77894	64.65564	3.179322	28.45325	99.99628
2.391666	285.3150	15.77890	64.51666	3.165433	28.33741	100.0008
2.425000	285.6362	15.77884	64.39009	3.152997	28.23348	99.97031
2.458334	285.9520	15.77870	64.25952	3.140371	28.12764	100.0023
2.491667	286.2644	15.77853	64.12734	3.127696	28.02119	100.0267
2.525000	286.5682	15.77841	63.99238	3.114949	27.91390	100.0346
2.558334	286.8734	15.77827	63.85754	3.102222	27.80664	99.95414
2.591667	287.1717	15.77823	63.71937	3.089363	27.69806	99.97858
2.629166	287.5050	15.77820	63.56363	3.074930	27.57604	100.0122
2.666667	287.8340	15.77818	63.40554	3.060410	27.45308	100.0374
2.700000	288.1238	15.77808	63.26394	3.047484	27.34350	99.98084
2.733334	288.4106	15.77799	63.12156	3.034559	27.23380	100.0062
2.766666	288.6975	15.77784	62.97924	3.021663	27.12425	99.96844
2.800000	288.9822	15.77767	62.83630	3.008768	27.01463	100.0128
2.833334	289.2637	15.77756	62.69302	2.995906	26.90522	100.0515
2.866666	289.5453	15.77755	62.54854	2.982983	26.79517	99.98431
2.900000	289.8256	15.77749	62.40428	2.970111	26.68550	99.98312
2.937500	290.1408	15.77734	62.24250	2.955692	26.56260	99.99861
2.975000	290.4571	15.77727	62.08038	2.941266	26.43955	100.0034
3.008333	290.7361	15.77720	61.93644	2.928500	26.33062	99.97204
3.041667	291.0171	15.77702	61.79451	2.915871	26.22290	100.0177
3.075000	291.2982	15.77684	61.65251	2.903258	26.11526	100.0253
3.108334	291.5790	15.77680	61.50980	2.890620	26.00735	99.96180
3.141666	291.8598	15.77668	61.36880	2.878118	25.90063	99.98339
3.175000	292.1399	15.77655	61.22882	2.865713	25.79472	100.0405
3.212500	292.4586	15.77642	61.07424	2.851944	25.67719	100.0105
3.250000	292.7772	15.77634	60.92042	2.838252	25.56034	99.98074
3.283333	293.0622	15.77632	60.78463	2.826148	25.45703	100.0055
3.316666	293.3476	15.77624	60.65056	2.814176	25.35488	99.96884
3.350000	293.6343	15.77613	60.51880	2.802368	25.25420	100.0190
3.383333	293.9252	15.77597	60.38919	2.790682	25.15458	100.0404
3.416667	294.2146	15.77589	60.26067	2.779102	25.05592	99.95384
3.450000	294.5076	15.77586	60.13308	2.767572	24.95769	99.98322
3.483333	294.8002	15.77577	60.00815	2.756243	24.86125	100.0328
3.520833	295.1315	15.77562	59.87098	2.743726	24.75478	100.0119
3.558334	295.4595	15.77544	59.73668	2.731458	24.65050	99.97813
3.591667	295.7504	15.77533	59.61871	2.720675	24.55886	100.0137
3.625000	296.0350	15.77526	59.50438	2.710214	24.47002	99.95718
3.658333	296.3155	15.77524	59.39294	2.700005	24.38334	100.0241
3.691666	296.5896	15.77516	59.28482	2.690098	24.29926	100.0407
3.725000	296.8562	15.77507	59.18024	2.680514	24.21794	99.95899
3.758333	297.1160	15.77506	59.07901	2.671236	24.13922	99.97524
3.795833	297.3940	15.77513	58.96964	2.661254	24.05455	100.0046
3.833334	297.6602	15.77522	58.86278	2.651570	23.97230	100.0496
3.866666	297.8845	15.77519	58.77004	2.643242	23.90150	99.97162
3.900000	298.1010	15.77520	58.67971	2.635163	23.83270	100.0162
3.933334	298.3049	15.77521	58.59092	2.627316	23.76579	99.95944
3.966667	298.4981	15.77519	58.50362	2.619679	23.70058	100.0145
4.000000	298.6806	15.77516	58.41865	2.612308	23.63753	100.0402
4.033333	298.8480	15.77520	58.33401	2.605111	23.57582	99.96974
4.066666	299.0043	15.77532	58.24993	2.598063	23.51521	99.97934
4.104167	299.1658	15.77538	58.15422	2.590206	23.44736	99.99726
4.141667	299.3160	15.77540	58.05839	2.582453	23.38020	100.0359
4.175000	299.4344	15.77536	57.97282	2.575686	23.32138	99.99276
4.208333	299.5432	15.77532	57.88647	2.568960	23.26272	100.0219
4.241667	299.6393	15.77541	57.79711	2.562162	23.20317	99.95103
4.275000	299.7286	15.77553	57.70718	2.555392	23.14368	100.0161
4.308334	299.8041	15.77564	57.61582	2.548661	23.08435	100.0392
4.341667	299.8730	15.77567	57.52385	2.541954	23.02504	99.96637
4.379166	299.9354	15.77575	57.41620	2.534275	22.95688	99.99399
4.416666	299.9897	15.77580	57.30787	2.526630	22.88880	99.97986
4.450000	300.0268	15.77581	57.20992	2.519830	22.82807	100.0439
4.483334	300.0570	15.77580	57.11000	2.512969	22.76660	99.99251
4.516667	300.0808	15.77588	57.00646	2.505928	22.70336	100.0107
4.550000	300.0997	15.77598	56.90092	2.498802	22.63922	99.95168
4.583333	300.1102	15.77598	56.79566	2.491772	22.57584	100.0164
4.616667	300.1137	15.77594	56.68848	2.484678	22.51178	100.0475
4.650000	300.1120	15.77594	56.57883	2.477468	22.44656	99.95841
4.687500	300.1025	15.77600	56.45380	2.469314	22.37265	99.99405
4.725000	300.0920	15.77603	56.32825	2.461133	22.29841	99.99071
