wavelength,"(743, 898)","(745, 886)","(749, 881)","(755, 879)","(750, 877)","(746, 920)","(758, 915)","(743, 908)","(744, 931)","(747, 926)"
492.195,0.405736,0.416467,0.51335,0.470903,0.506718,0.428588,0.541667,0.386947,0.504624,0.425935
493.822,0.409696,0.41885,0.52309,0.470465,0.517677,0.428636,0.551523,0.401502,0.504723,0.435292
495.449,0.427543,0.426378,0.534956,0.478489,0.513001,0.433376,0.568871,0.400246,0.510439,0.433656
497.075,0.410525,0.432627,0.529943,0.495884,0.522437,0.432791,0.556429,0.390702,0.513635,0.431348
498.702,0.419365,0.434958,0.534583,0.489294,0.525744,0.441966,0.564094,0.407604,0.527576,0.438892
500.329,0.42529,0.447784,0.535147,0.494361,0.543108,0.441728,0.564058,0.411322,0.527048,0.447022
501.956,0.41489,0.445663,0.547016,0.490776,0.522292,0.453861,0.573692,0.410646,0.538886,0.453195
503.582,0.43592,0.443922,0.551649,0.50005,0.543441,0.440455,0.564649,0.418972,0.533423,0.442609
505.209,0.43478,0.446002,0.552557,0.497533,0.541403,0.451599,0.58046,0.419644,0.524238,0.457678
506.836,0.418474,0.450579,0.567768,0.507865,0.544039,0.448001,0.572965,0.432296,0.538821,0.461542
508.463,0.435428,0.45531,0.563649,0.508337,0.552403,0.456564,0.581729,0.421292,0.526533,0.462366
510.089,0.441786,0.468709,0.565881,0.510372,0.565743,0.457875,0.582278,0.430402,0.524935,0.470165
511.716,0.458643,0.459199,0.575462,0.51,0.55512,0.469789,0.575534,0.429757,0.546526,0.481005
513.343,0.454468,0.459195,0.559875,0.526239,0.561948,0.476723,0.602984,0.439812,0.545666,0.486764
514.97,0.46916,0.468861,0.579089,0.522952,0.565185,0.466505,0.5905,0.444129,0.538922,0.483579
516.596,0.473181,0.473076,0.584478,0.529028,0.555866,0.481478,0.580608,0.452755,0.541195,0.486295
518.223,0.458332,0.47582,0.576505,0.52007,0.577338,0.48497,0.594556,0.453005,0.56503,0.491415
519.85,0.46502,0.481338,0.589494,0.523131,0.588307,0.486838,0.610831,0.457229,0.564744,0.487265
521.477,0.474868,0.48667,0.588946,0.530198,0.581956,0.484064,0.596904,0.450954,0.569874,0.501671
523.103,0.47892,0.49285,0.592494,0.542983,0.575261,0.487084,0.615106,0.444418,0.562203,0.503419
524.73,0.47588,0.47857,0.600288,0.531396,0.570021,0.490929,0.607552,0.459081,0.570986,0.505232
526.357,0.472801,0.498975,0.594685,0.544522,0.595524,0.502603,0.600545,0.466923,0.558202,0.509266
527.984,0.486423,0.505195,0.599191,0.544742,0.588663,0.499494,0.606843,0.471058,0.560087,0.508653
529.61,0.479297,0.50114,0.604425,0.534024,0.612864,0.500786,0.609318,0.489409,0.56244,0.517623
531.237,0.502526,0.507074,0.613705,0.542016,0.590935,0.508272,0.59958,0.481458,0.574832,0.531637
532.864,0.496826,0.511308,0.626314,0.554414,0.604981,0.506417,0.611624,0.482023,0.577642,0.529713
534.491,0.511375,0.514109,0.614877,0.563856,0.6304,0.509317,0.626702,0.48451,0.5807,0.527254
536.117,0.503819,0.512117,0.618985,0.555964,0.614149,0.518357,0.629605,0.476019,0.587149,0.527469
537.744,0.486492,0.511207,0.623611,0.554964,0.601158,0.514901,0.634631,0.477997,0.581532,0.52101
539.371,0.505026,0.511276,0.630377,0.559969,0.614977,0.513902,0.632793,0.498943,0.596799,0.52688
540.997,0.503208,0.513744,0.621418,0.559583,0.608872,0.50473,0.616384,0.489812,0.588125,0.52944
542.624,0.504625,0.51451,0.618717,0.552607,0.612234,0.508305,0.626483,0.507506,0.591666,0.529449
544.251,0.502558,0.528571,0.613237,0.572526,0.615316,0.517214,0.630955,0.499256,0.592999,0.532526
545.878,0.521385,0.534689,0.623064,0.571047,0.622324,0.528972,0.628977,0.492181,0.58868,0.546906
547.504,0.521271,0.523117,0.641247,0.574454,0.628849,0.537384,0.645386,0.513609,0.59106,0.54628
549.131,0.5133,0.543067,0.638966,0.576817,0.643707,0.553582,0.655608,0.506768,0.606992,0.55448
550.758,0.524683,0.551688,0.653729,0.581792,0.645358,0.541583,0.641309,0.517851,0.61591,0.563472
552.385,0.539578,0.553456,0.661404,0.585544,0.647883,0.539937,0.649814,0.505729,0.615907,0.561225
554.011,0.543407,0.539128,0.666705,0.57861,0.653064,0.549417,0.65245,0.51071,0.613741,0.573077
555.638,0.536207,0.556322,0.663879,0.599838,0.641972,0.559645,0.660348,0.522497,0.613414,0.56872
557.265,0.545957,0.559641,0.662012,0.599764,0.662386,0.555075,0.648295,0.530806,0.627733,0.573069
558.892,0.553206,0.562563,0.67037,0.594307,0.652091,0.565509,0.670585,0.538654,0.633697,0.571957
560.518,0.554504,0.57703,0.674667,0.59795,0.655208,0.569278,0.663427,0.533534,0.631509,0.569421
562.145,0.549193,0.574839,0.683182,0.603801,0.669798,0.563952,0.672262,0.550693,0.654469,0.580021
563.772,0.546594,0.579181,0.681376,0.617902,0.682712,0.569519,0.673477,0.53834,0.632971,0.580986
565.399,0.556887,0.569636,0.685951,0.617706,0.676875,0.573989,0.672853,0.531568,0.638528,0.586236
567.025,0.566718,0.572261,0.688016,0.599568,0.683075,0.573298,0.674985,0.539765,0.653705,0.583311
